STATION,STATION_NAME,DATE,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20141001,254,-9999,254,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20141101,58,-9999,58,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20141201,241,-9999,261,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20150101,51,-9999,102,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20150201,381,-9999,462,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20150301,178,-9999,333,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20150401,305,-9999,895,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20150501,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20150601,229,-9999,643,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20150701,279,-9999,1600,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20150801,762,-9999,2142,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20150901,239,-9999,366,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20151001,76,-9999,261,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20151101,264,-9999,721,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20151201,231,-9999,701,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0064,SAVANNAH 10.4 E GA US,20140301,104,-9999,208,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0064,SAVANNAH 10.4 E GA US,20140401,627,-9999,1503,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0064,SAVANNAH 10.4 E GA US,20140501,401,-9999,591,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0064,SAVANNAH 10.4 E GA US,20140601,1196,-9999,2362,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0064,SAVANNAH 10.4 E GA US,20140701,467,-9999,1787,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0064,SAVANNAH 10.4 E GA US,20140801,1146,-9999,2651,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0064,SAVANNAH 10.4 E GA US,20140901,457,-9999,1145,0,-9999,-9999,-9999,-9999,-9999
